Edad	Dq	thinning	varname	zone	cal
34	54.1357877091335	M2	Dq	1	26
35	54.718319587102	M2	Dq	1	26
36	55.2759449803152	M2	Dq	1	26
37	55.8102427051828	M2	Dq	1	26
38	56.3226613225523	M2	Dq	1	26
39	56.8145321596268	M2	Dq	1	26
40	57.2870808265772	M2	Dq	1	26
40	0	M2	Dq	1	26
1	3.8604279860325e-05	M2	Dq	1	7
2	0.0221275546373503	M2	Dq	1	7
3	0.210024405171077	M2	Dq	1	7
4	0.675523538770543	M2	Dq	1	7
5	1.38846754916026	M2	Dq	1	7
6	2.26835288009827	M2	Dq	1	7
7	3.24146173889022	M2	Dq	1	7
8	4.25414895256685	M2	Dq	1	7
9	5.2709081998939	M2	Dq	1	7
10	6.26952432868556	M2	Dq	1	7
11	7.23680076802364	M2	Dq	1	7
12	8.16544923714703	M2	Dq	1	7
13	9.05197524027882	M2	Dq	1	7
14	9.89528078309819	M2	Dq	1	7
14	10.4249700239377	M2	Dq	1	7
15	11.3000493956901	M2	Dq	1	7
16	12.1318965159596	M2	Dq	1	7
17	12.9220017369541	M2	Dq	1	7
18	13.6722348321191	M2	Dq	1	7
19	14.3846554684289	M2	Dq	1	7
20	15.0613905662138	M2	Dq	1	7
21	15.7045561460013	M2	Dq	1	7
22	16.3162087875513	M2	Dq	1	7
22	18.1454441350203	M2	Dq	1	7
23	18.8308622362137	M2	Dq	1	7
24	19.4849561322255	M2	Dq	1	7
25	20.109579532271	M2	Dq	1	7
26	20.7064868673506	M2	Dq	1	7
27	21.2773298782966	M2	Dq	1	7
28	21.8236578160717	M2	Dq	1	7
29	22.346919978105	M2	Dq	1	7
30	22.8484696998541	M2	Dq	1	7
30	26.8216330599015	M2	Dq	1	7
31	27.5265934911821	M2	Dq	1	7
32	28.2066724032901	M2	Dq	1	7
33	28.8630373236878	M2	Dq	1	7
34	29.4968017005944	M2	Dq	1	7
35	30.109024944412	M2	Dq	1	7
36	30.7007132698571	M2	Dq	1	7
37	31.2728210959645	M2	Dq	1	7
38	31.8262528225404	M2	Dq	1	7
39	32.3618648479328	M2	Dq	1	7
40	32.8804677279268	M2	Dq	1	7
40	0	M2	Dq	1	7
1	0.000223706191110429	M4	Dq	0	11
2	0.061663617060433	M4	Dq	0	11
3	0.451552756415796	M4	Dq	0	11
4	1.26938970459697	M4	Dq	0	11
5	2.40117058430328	M4	Dq	0	11
6	3.70702389876494	M4	Dq	0	11
7	5.0837647088079	M4	Dq	0	11
8	6.46617100404325	M4	Dq	0	11
9	7.81612538595453	M4	Dq	0	11
10	9.11287089344344	M4	Dq	0	11
11	10.3462884174152	M4	Dq	0	11
12	11.5126176263366	M4	Dq	0	11
13	12.6118130672407	M4	Dq	0	11
14	13.6459295664585	M4	Dq	0	11
15	14.61814195259	M4	Dq	0	11
15	16.9199797365633	M4	Dq	0	11
16	18.0894912861862	M4	Dq	0	11
17	19.1959318545627	M4	Dq	0	11
18	20.2428389799993	M4	Dq	0	11
19	21.2338409747413	M4	Dq	0	11
20	22.1725191821215	M4	Dq	0	11
21	23.062326059177	M4	Dq	0	11
22	23.9065393071984	M4	Dq	0	11
23	24.7082391628761	M4	Dq	0	11
24	25.4703004203394	M4	Dq	0	11
25	26.1953936564462	M4	Dq	0	11
25	0	M4	Dq	0	11
1	0.00329609683238945	M4	Dq	0	16
2	0.271361147193142	M4	Dq	0	16
3	1.29501793751775	M4	Dq	0	16
4	2.91493015840004	M4	Dq	0	16
5	4.80754841956985	M4	Dq	0	16
6	6.76031059693667	M4	Dq	0	16
7	8.66223794596056	M4	Dq	0	16
8	10.4622984961396	M4	Dq	0	16
9	12.1412413963212	M4	Dq	0	16
10	13.6959009498105	M4	Dq	0	16
11	15.1308828600402	M4	Dq	0	16
12	16.454231242717	M4	Dq	0	16
13	17.6751954954493	M4	Dq	0	16
14	18.8031031945067	M4	Dq	0	16
15	19.846817118877	M4	Dq	0	16
15	22.0479995853203	M4	Dq	0	16
16	23.3054448438401	M4	Dq	0	16
17	24.4823882691607	M4	Dq	0	16
18	25.5854113250705	M4	Dq	0	16
19	26.6206165706431	M4	Dq	0	16
20	27.5936039345145	M4	Dq	0	16
21	28.5094792542068	M4	Dq	0	16
22	29.3728799953557	M4	Dq	0	16
23	30.1880092160012	M4	Dq	0	16
24	30.9586725428322	M4	Dq	0	16
25	31.6883151626286	M4	Dq	0	16
25	0	M4	Dq	0	16
1	0.0222328927546054	M4	Dq	0	21
2	0.777422902453171	M4	Dq	0	21
3	2.73915426906748	M4	Dq	0	21
4	5.26699396273376	M4	Dq	0	21
5	7.88265221288356	M4	Dq	0	21
6	10.374666278489	M4	Dq	0	21
7	12.6688065198595	M4	Dq	0	21
8	14.7507370672929	M4	Dq	0	21
9	16.6303432801815	M4	Dq	0	21
10	18.3260898204437	M4	Dq	0	21
11	19.8583097832826	M4	Dq	0	21
12	21.2464457562171	M4	Dq	0	21
13	22.5080426301617	M4	Dq	0	21
14	23.6585092459554	M4	Dq	0	21
15	24.7112040191099	M4	Dq	0	21
15	27.7802602065362	M4	Dq	0	21
16	29.0776302571784	M4	Dq	0	21
17	30.2807448287699	M4	Dq	0	21
18	31.3990230941719	M4	Dq	0	21
19	32.4407988365253	M4	Dq	0	21
20	33.4134366103898	M4	Dq	0	21
21	34.3234455723584	M4	Dq	0	21
22	35.1765849163701	M4	Dq	0	21
23	35.9779585755615	M4	Dq	0	21
24	36.7320987793419	M4	Dq	0	21
25	37.4430390025259	M4	Dq	0	21
25	0	M4	Dq	0	21
1	0.0970903202421934	M4	Dq	0	26
2	1.75368390595816	M4	Dq	0	26
3	4.88944262251693	M4	Dq	0	26
4	8.32597109511085	M4	Dq	0	26
5	11.561141874238	M4	Dq	0	26
6	14.4587429355237	M4	Dq	0	26
7	17.0124813839193	M4	Dq	0	26
8	19.2559624694907	M4	Dq	0	26
9	21.2310943484943	M4	Dq	0	26
10	22.9775668731146	M4	Dq	0	26
11	24.5298865359911	M4	Dq	0	26
12	25.9170776227113	M4	Dq	0	26
13	27.1632490848003	M4	Dq	0	26
14	28.2883635567337	M4	Dq	0	26
15	29.3089742589909	M4	Dq	0	26
15	32.447319942155	M4	Dq	0	26
16	33.7411519921162	M4	Dq	0	26
17	34.9336022969251	M4	Dq	0	26
18	36.0358872065357	M4	Dq	0	26
19	37.0577074838795	M4	Dq	0	26
20	38.0074737141773	M4	Dq	0	26
21	38.8924995953101	M4	Dq	0	26
22	39.7191657161196	M4	Dq	0	26
23	40.4930574872761	M4	Dq	0	26
24	41.2190810062278	M4	Dq	0	26
25	41.9015603492597	M4	Dq	0	26
25	0	M4	Dq	0	26
1	7.92498771539618e-06	M4	Dq	0	7
2	0.00981828018342966	M4	Dq	0	7
3	0.122455529796507	M4	Dq	0	7
4	0.453860231723735	M4	Dq	0	7
5	1.01809760703311	M4	Dq	0	7
6	1.76536524051858	M4	Dq	0	7
7	2.63438271881331	M4	Dq	0	7
8	3.57338247766025	M4	Dq	0	7
9	4.54409390893353	M4	Dq	0	7
10	5.52001916473801	M4	Dq	0	7
11	6.48357609678912	M4	Dq	0	7
12	7.42354335357378	M4	Dq	0	7
