Edad	Dm	thinning	varname	zone	cal
40	38.8677377256045	M2	Dm	1	11
40	0	M2	Dm	1	11
1	0.0144556104199449	M2	Dm	1	16
2	0.574067348259549	M2	Dm	1	16
3	2.11173151292958	M2	Dm	1	16
4	4.14986546848009	M2	Dm	1	16
5	6.29302901933072	M2	Dm	1	16
6	8.35586076628563	M2	Dm	1	16
7	10.268111477558	M2	Dm	1	16
8	12.0119923935445	M2	Dm	1	16
9	13.5919741726335	M2	Dm	1	16
10	15.0210839940498	M2	Dm	1	16
11	16.3148115405597	M2	Dm	1	16
12	17.4884780303214	M2	Dm	1	16
13	18.5561853640383	M2	Dm	1	16
14	19.5304838197517	M2	Dm	1	16
14	20.5364466231557	M2	Dm	1	16
15	21.5377146250739	M2	Dm	1	16
16	22.4598432908403	M2	Dm	1	16
17	23.3114152796511	M2	Dm	1	16
18	24.0999327408306	M2	Dm	1	16
19	24.8319493610375	M2	Dm	1	16
20	25.5131948819853	M2	Dm	1	16
21	26.148687107804	M2	Dm	1	16
22	26.7428301221863	M2	Dm	1	16
22	29.2603516595094	M2	Dm	1	16
23	29.9446755400071	M2	Dm	1	16
24	30.5887850726924	M2	Dm	1	16
25	31.1960912885238	M2	Dm	1	16
26	31.7696421726469	M2	Dm	1	16
27	32.3121671537376	M2	Dm	1	16
28	32.8261157885371	M2	Dm	1	16
29	33.3136913528483	M2	Dm	1	16
30	33.7768800014627	M2	Dm	1	16
30	39.6054679608055	M2	Dm	1	16
31	40.3271646711019	M2	Dm	1	16
32	41.0180176490274	M2	Dm	1	16
33	41.6799373747233	M2	Dm	1	16
34	42.314686120204	M2	Dm	1	16
35	42.9238909677683	M2	Dm	1	16
36	43.5090556807785	M2	Dm	1	16
37	44.0715714985287	M2	Dm	1	16
38	44.6127269346836	M2	Dm	1	16
39	45.1337166608548	M2	Dm	1	16
40	45.635649555402	M2	Dm	1	16
40	0	M2	Dm	1	16
1	0.0943947369139273	M2	Dm	1	21
2	1.61908697976984	M2	Dm	1	21
3	4.42470157746431	M2	Dm	1	21
4	7.45000436971809	M2	Dm	1	21
5	10.2680190564883	M2	Dm	1	21
6	12.7725893423884	M2	Dm	1	21
7	14.9665721222197	M2	Dm	1	21
8	16.8842768066906	M2	Dm	1	21
9	18.5652028290438	M2	Dm	1	21
10	20.045714035684	M2	Dm	1	21
11	21.3569502779404	M2	Dm	1	21
12	22.5248518081468	M2	Dm	1	21
13	23.5708182219656	M2	Dm	1	21
14	24.5124758615673	M2	Dm	1	21
14	25.9462264737748	M2	Dm	1	21
15	26.9184471199126	M2	Dm	1	21
16	27.8044117496771	M2	Dm	1	21
17	28.6149592456025	M2	Dm	1	21
18	29.3592428542882	M2	Dm	1	21
19	30.0450299456902	M2	Dm	1	21
20	30.6789447464173	M2	Dm	1	21
21	31.2666646398806	M2	Dm	1	21
22	31.8130791352809	M2	Dm	1	21
22	34.5845467620395	M2	Dm	1	21
23	35.2317888948392	M2	Dm	1	21
24	35.838280206957	M2	Dm	1	21
25	36.4077709295662	M2	Dm	1	21
26	36.943569866724	M2	Dm	1	21
27	37.4486061661161	M2	Dm	1	21
28	37.9254813023514	M2	Dm	1	21
29	38.3765129609219	M2	Dm	1	21
30	38.8037722067871	M2	Dm	1	21
30	45.1570165807012	M2	Dm	1	21
31	45.8652623736363	M2	Dm	1	21
32	46.5416303629361	M2	Dm	1	21
33	47.1882259314604	M2	Dm	1	21
34	47.8069765426136	M2	Dm	1	21
35	48.3996494768962	M2	Dm	1	21
36	48.9678676134986	M2	Dm	1	21
37	49.5131234776902	M2	Dm	1	21
38	50.0367917530244	M2	Dm	1	21
39	50.5401404361717	M2	Dm	1	21
40	51.0243407922575	M2	Dm	1	21
40	0	M2	Dm	1	21
1	0.401850628650897	M2	Dm	1	26
2	3.60318794513961	M2	Dm	1	26
3	7.82846957152269	M2	Dm	1	26
4	11.7010939247406	M2	Dm	1	26
5	14.9836082969141	M2	Dm	1	26
6	17.7258366677077	M2	Dm	1	26
7	20.0244991380262	M2	Dm	1	26
8	21.9682598173853	M2	Dm	1	26
9	23.6284425231603	M2	Dm	1	26
10	25.0604460084778	M2	Dm	1	26
11	26.3070386923606	M2	Dm	1	26
12	27.4013903471926	M2	Dm	1	26
13	28.369451626586	M2	Dm	1	26
14	29.2317323782212	M2	Dm	1	26
14	30.9939760105694	M2	Dm	1	26
15	31.8939745566447	M2	Dm	1	26
16	32.7075030718705	M2	Dm	1	26
17	33.4464640922583	M2	Dm	1	26
18	34.1206977692551	M2	Dm	1	26
19	34.7384021195847	M2	Dm	1	26
20	35.3064568176327	M2	Dm	1	26
21	35.8306746807471	M2	Dm	1	26
22	36.3159985875196	M2	Dm	1	26
22	39.500575792095	M2	Dm	1	26
23	40.095675497732	M2	Dm	1	26
24	40.6513744059696	M2	Dm	1	26
25	41.1715095223596	M2	Dm	1	26
26	41.6594359440004	M2	Dm	1	26
27	42.1180996170233	M2	Dm	1	26
28	42.5500974569899	M2	Dm	1	26
29	42.9577272812618	M2	Dm	1	26
30	43.3430294850687	M2	Dm	1	26
30	50.6411351627649	M2	Dm	1	26
31	51.325378433284	M2	Dm	1	26
32	51.9775023254145	M2	Dm	1	26
33	52.5997349424862	M2	Dm	1	26
34	53.1941043600403	M2	Dm	1	26
35	53.7624602043274	M2	Dm	1	26
36	54.3064925717989	M2	Dm	1	26
37	54.8277486484803	M2	Dm	1	26
38	55.3276473373857	M2	Dm	1	26
39	55.8074921584113	M2	Dm	1	26
40	56.2684826476379	M2	Dm	1	26
40	0	M2	Dm	1	26
1	2.7771755820552e-05	M2	Dm	1	7
2	0.0194777497497687	M2	Dm	1	7
3	0.193380413543379	M2	Dm	1	7
4	0.633650174796106	M2	Dm	1	7
5	1.3153863618207	M2	Dm	1	7
6	2.16210024895463	M2	Dm	1	7
7	3.1022813795522	M2	Dm	1	7
8	4.08333536274124	M2	Dm	1	7
9	5.0701807337499	M2	Dm	1	7
10	6.04071019108496	M2	Dm	1	7
11	6.98168278164965	M2	Dm	1	7
12	7.88569877374674	M2	Dm	1	7
13	8.74912831221194	M2	Dm	1	7
14	9.57073541475849	M2	Dm	1	7
14	10.100424655598	M2	Dm	1	7
15	10.9550729265012	M2	Dm	1	7
