Edad	VCC20	VCC7	thinning	varname	zone	cal
38	222.825578896529	248.543153948802	M2	VC	0	11
39	235.110056833488	260.508952064502	M2	VC	0	11
40	246.758097069737	271.774068247575	M2	VC	0	11
40	0	0	M2	VC	0	11
1	0	0	M2	VC	0	16
2	0	0	M2	VC	0	16
3	0	0	M2	VC	0	16
4	0	0	M2	VC	0	16
5	0	0	M2	VC	0	16
6	0	4.09950997518364	M2	VC	0	16
7	0	5.44802311918836	M2	VC	0	16
8	0	22.6491929729962	M2	VC	0	16
9	0	32.3313585920862	M2	VC	0	16
10	0	50.139755369369	M2	VC	0	16
11	0.240840698157582	78.0626402735864	M2	VC	0	16
12	2.75379453336763	99.2324923968198	M2	VC	0	16
13	9.35442612608566	127.001581626691	M2	VC	0	16
14	19.4258890314779	155.791031607951	M2	VC	0	16
14	19.4258890314779	143.122829010306	M2	VC	0	16
15	44.2327340977132	164.186966441155	M2	VC	0	16
16	69.154168899854	196.91039413367	M2	VC	0	16
17	96.5289120174864	229.760713371504	M2	VC	0	16
18	125.642424488526	262.101352683566	M2	VC	0	16
19	155.812960935221	294.600753256967	M2	VC	0	16
20	188.200146629855	329.438750121484	M2	VC	0	16
21	221.588483251831	364.493102588269	M2	VC	0	16
22	254.453768607836	398.200426994221	M2	VC	0	16
22	243.858808162337	336.936281956004	M2	VC	0	16
23	271.739010768239	362.124888855002	M2	VC	0	16
24	303.994591625612	394.124139387231	M2	VC	0	16
25	335.865165798029	425.55828357151	M2	VC	0	16
26	367.313265495561	456.459095603665	M2	VC	0	16
27	397.76735021304	486.275040590246	M2	VC	0	16
28	429.839206228845	517.636637538458	M2	VC	0	16
29	462.223402093112	549.540146028402	M2	VC	0	16
30	492.987087235871	579.788234711479	M2	VC	0	16
30	313.773031877845	339.955245771146	M2	VC	0	16
31	326.697313259099	354.826528569691	M2	VC	0	16
32	347.77842142047	375.581637240735	M2	VC	0	16
33	369.358092722402	396.696619073628	M2	VC	0	16
34	390.676277788546	417.653617168205	M2	VC	0	16
35	411.187914184329	437.808888270774	M2	VC	0	16
36	431.213960020953	457.576568272988	M2	VC	0	16
37	451.36327810766	477.440148113467	M2	VC	0	16
38	470.289285960278	496.180672622194	M2	VC	0	16
39	490.512209353263	516.160501490854	M2	VC	0	16
40	509.385923306437	534.930480231869	M2	VC	0	16
40	0	0	M2	VC	0	16
1	0	0	M2	VC	0	21
2	0	0	M2	VC	0	21
3	0	0	M2	VC	0	21
4	0	0	M2	VC	0	21
5	0	4.70123988949909	M2	VC	0	21
6	0	24.0885855850397	M2	VC	0	21
7	0	35.8974858119865	M2	VC	0	21
8	0	70.6099914016762	M2	VC	0	21
9	1.28554771792901	104.815617594267	M2	VC	0	21
10	11.933954273691	142.373921583384	M2	VC	0	21
11	29.1680462700618	184.393713818227	M2	VC	0	21
12	57.7890749647933	223.975518817414	M2	VC	0	21
13	101.602084213715	280.534787612936	M2	VC	0	21
14	149.680706293525	336.345279210986	M2	VC	0	21
14	149.680706293525	304.733938881937	M2	VC	0	21
15	208.020007818295	354.20657124283	M2	VC	0	21
16	259.157586840319	407.03179577916	M2	VC	0	21
17	309.86014615241	458.011879247383	M2	VC	0	21
18	362.813618165462	510.722549378583	M2	VC	0	21
19	419.645915773184	568.36371022148	M2	VC	0	21
20	477.37136015442	626.278375778341	M2	VC	0	21
21	532.316496934381	681.165410078808	M2	VC	0	21
22	586.490172849846	735.154694254764	M2	VC	0	21
22	523.510559043653	612.382094478506	M2	VC	0	21
23	564.392885775043	655.198717868011	M2	VC	0	21
24	612.294150024898	702.303251082355	M2	VC	0	21
25	658.819202585677	748.07184373638	M2	VC	0	21
26	705.493242859035	793.912576708304	M2	VC	0	21
27	753.79679698789	841.718100572264	M2	VC	0	21
28	800.17451825101	887.693144313519	M2	VC	0	21
29	845.551124296116	932.704030439434	M2	VC	0	21
30	891.864467150067	978.588936082245	M2	VC	0	21
30	543.077993835508	568.587246835135	M2	VC	0	21
31	562.145590001095	590.718213012394	M2	VC	0	21
32	590.978338973741	619.289472309152	M2	VC	0	21
33	626.312227618629	654.096567862469	M2	VC	0	21
34	652.553109155907	680.269927687856	M2	VC	0	21
35	681.540833972184	709.136211711146	M2	VC	0	21
36	707.273668156802	734.69184565564	M2	VC	0	21
37	738.082701272305	765.202732085719	M2	VC	0	21
38	770.23181106384	797.079469912391	M2	VC	0	21
39	795.039747436877	821.890084636687	M2	VC	0	21
40	822.376132190466	848.894381738692	M2	VC	0	21
40	0	0	M2	VC	0	21
1	0	0	M2	VC	0	26
2	0	0	M2	VC	0	26
3	0	0	M2	VC	0	26
4	0	4.68138913287515	M2	VC	0	26
5	0	31.2812736980745	M2	VC	0	26
6	0	50.3752297487336	M2	VC	0	26
7	0.426286305652266	110.706937509824	M2	VC	0	26
8	18.6924427168116	162.848704154429	M2	VC	0	26
9	45.7922179916284	214.15483461827	M2	VC	0	26
10	109.1847050463	290.090494854811	M2	VC	0	26
