"RegimenClara","Zona","Calidad","Edad","AB","Dm","Dq","Ho","VCC20","VCC7"
"MG2",1,26,33,83.99,47.82,48.75,31.64,983.82,1028.48
"MG2",1,26,34,85.61,48.27,49.22,31.91,1011.03,1055.51
"MG2",1,26,35,87.17,48.71,49.66,32.17,1037.53,1081.89
"MG2",1,26,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,7,1,0.00,0.00,0.00,0.12,0.00,0.00
"MG2",1,7,2,0.00,0.02,0.02,0.33,0.00,0.00
"MG2",1,7,3,0.00,0.19,0.21,0.60,0.00,0.00
"MG2",1,7,4,0.04,0.63,0.68,0.90,0.00,0.00
"MG2",1,7,5,0.19,1.32,1.39,1.23,0.00,0.00
"MG2",1,7,6,0.51,2.16,2.27,1.59,0.00,0.00
"MG2",1,7,7,1.03,3.10,3.24,1.96,0.00,0.00
"MG2",1,7,8,1.78,4.08,4.25,2.35,0.00,0.05
"MG2",1,7,9,2.73,5.07,5.27,2.74,0.00,1.76
"MG2",1,7,10,3.86,6.04,6.27,3.14,0.00,2.53
"MG2",1,7,11,5.14,6.98,7.24,3.54,0.00,3.22
"MG2",1,7,12,6.55,7.89,8.17,3.94,0.00,4.49
"MG2",1,7,13,8.04,8.75,9.05,4.34,0.00,8.15
"MG2",1,7,14,9.61,9.57,9.90,4.74,0.00,13.00
"MG2",1,7,15,11.23,10.35,10.70,5.13,0.00,17.39
"MG2",1,7,16,12.88,11.09,11.45,5.52,0.00,21.44
"MG2",1,7,17,14.55,11.79,12.17,5.90,0.00,26.45
"MG2",1,7,17,12.83,12.40,12.78,5.90,0.00,25.55
"MG2",1,7,18,14.38,13.13,13.53,6.27,0.06,31.37
"MG2",1,7,19,15.93,13.83,14.24,6.64,0.26,38.32
"MG2",1,7,20,17.48,14.48,14.92,7.00,0.70,45.12
"MG2",1,7,21,19.01,15.11,15.56,7.35,1.46,51.69
"MG2",1,7,22,20.53,15.71,16.17,7.69,2.60,58.19
"MG2",1,7,23,22.03,16.28,16.75,8.03,4.15,65.96
"MG2",1,7,24,23.52,16.82,17.30,8.35,6.16,73.83
"MG2",1,7,25,24.97,17.33,17.83,8.67,8.72,81.58
"MG2",1,7,25,15.11,20.18,20.68,8.67,8.72,51.33
"MG2",1,7,26,16.17,20.88,21.39,8.98,16.63,54.74
"MG2",1,7,27,17.22,21.55,22.08,9.28,20.89,60.00
"MG2",1,7,28,18.27,22.20,22.73,9.57,25.90,66.11
"MG2",1,7,29,19.30,22.82,23.37,9.85,30.97,72.20
"MG2",1,7,30,20.32,23.42,23.98,10.13,36.51,78.47
"MG2",1,7,31,21.33,24.00,24.56,10.39,42.31,84.81
"MG2",1,7,32,22.32,24.55,25.13,10.65,47.81,90.68
"MG2",1,7,33,23.30,25.09,25.67,10.90,53.73,96.77
"MG2",1,7,34,24.26,25.60,26.20,11.15,59.31,102.42
"MG2",1,7,35,25.20,26.10,26.70,11.39,65.61,109.04
"MG2",1,7,35,0.00,0.00,0.00,0.00,0.00,0.00
