"","RegimenClara","Zona","Calidad","turno","RentaCap2pcEsc1","RentaCap2pcEsc2","RentaCap4pcEsc1","RentaCap4pcEsc2","VES.Cap2pcEsc1","VES.Cap2pcEsc2","VES.Cap4pcEsc1","VES.Cap4pcEsc2"
"15","M4","zona costera","26",25,12819.216303078,18621.3111552334,12965.3558803226,19063.4327219437,20011.0776574754,29068.2749086554,7783.09107278613,11443.7609275348
"16","M4","zona interior","7",25,-934.737659580765,-531.842193585783,-1771.48381914577,-1365.68534465176,-1459.14597686804,-830.217322630852,-1063.42008855337,-819.819641844613
"17","M4","zona interior","11",25,206.595719693199,1245.45443532516,-592.474029351991,468.125900038915,322.500447198943,1944.18167498702,-355.66160861852,281.01554227775
"18","M4","zona interior","16",25,2745.72131823816,4959.4148331426,2066.20159738092,4361.41134013829,4286.13116636911,7741.75526922212,1240.33889664059,2618.15116989554
"19","M4","zona interior","21",25,6949.68786941004,10874.4768522431,6487.25947130809,10573.1602008401,10848.6151073516,16975.296744342,3894.29582527812,6347.05823194487
"20","M4","zona interior","26",25,13112.8287946934,19182.5625580409,13152.4264970243,19496.7370034049,20469.4131931283,29944.4006515569,7895.38938995317,11703.8730845763
"21","M8","zona costera","7",35,-803.718146310009,218.854053689991,-2358.61460286097,-1336.04240286097,-803.806924644735,218.878228207543,-800.591770138256,-453.496960032721
"22","M8","zona costera","11",35,964.40241368999,3287.90661368999,-590.494042860973,1733.01015713903,964.508941134575,3288.2697943339,-200.433199411522,588.240939273661
"23","M8","zona costera","16",35,4360.16577368999,8764.55637368999,2805.26931713903,7209.65991713903,4360.6473955848,8765.52450253347,952.201146214667,2447.19692151308
"24","M8","zona costera","21",35,8630.03985368999,15531.12165369,7075.14339713903,13976.225197139,8630.99312390088,15532.8372142048,2401.53756761566,4743.99287482406
"25","M8","zona costera","26",35,13543.73409369,23290.27629369,11988.837637139,21735.379837139,13545.2301282941,23292.8489268378,4069.40783550429,7377.70647113567
"26","M8","zona interior","7",35,-774.425666310009,254.216133689991,-2329.32212286097,-1300.68032286097,-774.511209010942,254.244214286545,-790.64893404011,-441.493901038416
"27","M8","zona interior","11",35,1165.52289368999,3604.52229368999,-389.373562860974,2049.62583713903,1165.65163680978,3604.92044755548,-132.16625961604,695.710768128811
"28","M8","zona interior","16",35,5133.82065368999,10014.87045369,3578.92419713903,8459.97399713903,5134.38773314503,10015.9766916485,1214.80518890312,2871.59485465646
"29","M8","zona interior","21",35,10416.46161369,18414.77061369,8861.56515713903,16859.874157139,10417.6122112223,18416.8047007353,3007.90817064555,5722.79866299454
"30","M8","zona interior","26",35,16855.94109369,28624.47909369,15301.044637139,27069.582637139,16857.8029931474,28627.640940412,5193.68039023952,9188.31124596762
"31","MG2","zona costera","7",35,1467.67451251887,2974.92206430588,-75.0642230473536,1482.84049950939,1467.83663116673,2975.25067282122,-25.4792788659233,503.325087063787
