"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"55","M2",40,"zona costera","26",0,967.052,991.899,24.847,0,10.56,0,44.5,12,57.75,18,40,10474.45344,10474.45344,43331.978,56294.499,32857.52456,45820.04556,10,12003.5254893083,44861.0500493083,12802.0761745557,45659.6007345557,13392.6225098002,46250.1470698002,19521.6671187175,65341.7126787175,21315.060106896,67135.1056668959,23044.6085914507,68864.6541514507
"4","M2",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"35","M2",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"13","M2",14,"zona interior","7",1000,0,0.695,0.695,0,10.56,0,20,12,24,18,40,7.3392,7.3392,8.34,12.51,1.0008,5.1708,11,-947.302018079718,-946.301218079718,-1117.04904899721,-1116.04824899721,-1312.41537208973,-1311.41457208973,-947.302018079718,-942.131218079718,-1117.04904899721,-1111.87824899721,-1312.41537208973,-1307.24457208973
"24","M2",22,"zona interior","7",700,0,6.315,6.315,0,10.56,0,20,12,24,18,40,66.6864,66.6864,75.78,113.67,9.0936,46.9836,8,-1108.74269941697,-1099.64909941697,-1413.77653121471,-1404.68293121471,-1794.76139561248,-1785.66779561248,-1103.85687979819,-1056.87327979819,-1408.49409997532,-1361.51049997532,-1789.05446267229,-1742.07086267229
"47","M2",30,"zona interior","7",300,5.506,42.315,36.809,0,10.56,0,30.72,12,40.12,18,40,446.8464,446.8464,610.85232,883.46272,164.00592,436.61632,8,-1288.41418314259,-1124.40826314259,-1779.41031109865,-1615.40439109865,-2443.80967938065,-2279.80375938065,-1238.29549280619,-801.679172806185,-1724.72076686383,-1288.10444686383,-2384.14426626611,-1947.52794626611
"53","M2",40,"zona interior","7",0,98.359,121.591,23.232,0,10.56,0,44.5,12,57.75,18,40,1284.00096,1284.00096,4655.7595,6098.40825,3371.75854,4814.40729,10,-1370.64739856681,2001.11114143319,-2170.96842046189,1200.79011953811,-3374.66648555857,-2.90794555856883,-977.242438276753,3837.16485172325,-1731.1046644463,3083.3026255537,-2882.81711217918,1931.59017782082
"1","M2",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,40,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"31","M2",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,40,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"15","M2",14,"zona interior","11",1000,0,3.471,3.471,0,10.56,0,20,12,24,18,40,36.65376,36.65376,41.652,62.478,4.99824,25.82424,11,-947.302018079718,-942.303778079718,-1117.04904899721,-1112.05080899721,-1312.41537208973,-1307.41713208973,-947.302018079718,-921.477778079718,-1117.04904899721,-1091.22480899721,-1312.41537208973,-1286.59113208973
