"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo"
"67","M4",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"93","M4",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"72","M4",15,"zona interior","21",700,18.469,108.939,90.47,0,0,0,20,12,24,18,25,0,0,1455.02,2071.716,1455.02,2071.716,12
"86","M4",25,"zona interior","21",0,659.475,748.665,89.1899999999999,0,10.56,0,20,12,24,18,25,7905.9024,7905.9024,14259.78,17432.82,6353.8776,9526.9176,10
"70","M4",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0
"94","M4",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2
"71","M4",15,"zona interior","26",700,106.219,210.575,104.356,0,0,0,20,12,24,18,25,0,0,3376.652,4427.664,3376.652,4427.664,12
"85","M4",25,"zona interior","26",0,1064.305,1152.861,88.556,0,10.56,0,20,12,24,18,25,12174.21216,12174.21216,22348.772,27137.328,10174.55984,14963.11584,10
"106","M8",1,"zona costera","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"120","M8",3,"zona costera","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"130","M8",35,"zona costera","7",0,48.673,175.296,126.623,0,10.56,0,19.8,12,25.2,18,35,1851.12576,1851.12576,2483.2014,3505.7736,632.07564,1654.64784,32
"109","M8",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"116","M8",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"123","M8",35,"zona costera","11",0,231.943,410.445,178.502,0,10.56,0,19.8,12,25.2,18,35,4334.2992,4334.2992,6734.4954,9057.9996,2400.1962,4723.7004,32
"110","M8",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"117","M8",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"124","M8",35,"zona costera","16",0,596.539,793.719,197.18,0,10.56,0,19.8,12,25.2,18,35,8381.67264,8381.67264,14177.6322,18582.0228,5795.95956,10200.35016,32
"102","M8",1,"zona costera","21",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"118","M8",3,"zona costera","21",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"126","M8",35,"zona costera","21",0,1058.607,1256.041,197.434,0,10.56,0,19.8,12,25.2,18,35,13263.79296,13263.79296,23329.6266,30230.7084,10065.83364,16966.91544,32
"104","M8",1,"zona costera","26",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"119","M8",3,"zona costera","26",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"128","M8",35,"zona costera","26",0,1591.183,1783.542,192.359,0,10.56,0,19.8,12,25.2,18,35,18834.20352,18834.20352,33813.7314,43560.2736,14979.52788,24726.07008,32
"108","M8",1,"zona interior","7",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"115","M8",3,"zona interior","7",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"122","M8",35,"zona interior","7",0,52.177,176.658,124.481,0,10.56,0,19.8,12,25.2,18,35,1865.50848,1865.50848,2526.8766,3555.5184,661.36812,1690.00992,32
"101","M8",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
"111","M8",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2
"125","M8",35,"zona interior","11",0,253.771,431.877,178.106,0,10.56,0,19.8,12,25.2,18,35,4560.62112,4560.62112,7161.9378,9600.9372,2601.31668,5040.31608,32
"103","M8",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0
