"","Edad","RegimenClara","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","variable","Renta"
"102",3,"M8","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"103",35,"M8","zona costera","7",0,48.673,175.296,"renta.act.Esc1.Int1",-1435.79378631001
"104",1,"M8","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",0
"105",3,"M8","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"106",35,"M8","zona costera","11",0,231.943,410.445,"renta.act.Esc1.Int1",-1435.79378631001
"107",1,"M8","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"108",3,"M8","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"109",35,"M8","zona costera","16",0,596.539,793.719,"renta.act.Esc1.Int1",-1435.79378631001
"110",1,"M8","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",0
"111",3,"M8","zona costera","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"112",35,"M8","zona costera","21",0,1058.607,1256.041,"renta.act.Esc1.Int1",-1435.79378631001
"113",1,"M8","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",0
"114",3,"M8","zona costera","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"115",35,"M8","zona costera","26",0,1591.183,1783.542,"renta.act.Esc1.Int1",-1435.79378631001
"116",1,"M8","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",0
"117",3,"M8","zona interior","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"118",35,"M8","zona interior","7",0,52.177,176.658,"renta.act.Esc1.Int1",-1435.79378631001
"119",1,"M8","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",0
"120",3,"M8","zona interior","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"121",35,"M8","zona interior","11",0,253.771,431.877,"renta.act.Esc1.Int1",-1435.79378631001
"122",1,"M8","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",0
"123",3,"M8","zona interior","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"124",35,"M8","zona interior","16",0,679.527,881.461,"renta.act.Esc1.Int1",-1435.79378631001
"125",1,"M8","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",0
"126",3,"M8","zona interior","21",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"127",35,"M8","zona interior","21",0,1250.335,1458.085,"renta.act.Esc1.Int1",-1435.79378631001
"128",1,"M8","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",0
"129",3,"M8","zona interior","26",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"130",35,"M8","zona interior","26",0,1947.04,2156.127,"renta.act.Esc1.Int1",-1435.79378631001
"131",1,"MG2","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",0
"132",3,"MG2","zona costera","7",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"133",17,"MG2","zona costera","7",1000,0,0.902,"renta.act.Esc1.Int1",-1005.28448000234
"134",25,"MG2","zona costera","7",450,0,30.254,"renta.act.Esc1.Int1",-1176.32914663393
"135",35,"MG2","zona costera","7",0,65.614,109.042,"renta.act.Esc1.Int1",-1380.83224748113
"136",1,"MG2","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",0
"137",3,"MG2","zona costera","11",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"138",17,"MG2","zona costera","11",1000,0,7.069,"renta.act.Esc1.Int1",-1005.28448000234
"139",25,"MG2","zona costera","11",450,11.995,80.814,"renta.act.Esc1.Int1",-1165.92424893413
"140",35,"MG2","zona costera","11",0,215.021,261.294,"renta.act.Esc1.Int1",-1012.6958135472
"141",1,"MG2","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",0
"142",3,"MG2","zona costera","16",1250,0,0,"renta.act.Esc1.Int1",-2288.88
"143",17,"MG2","zona costera","16",1000,0,25.517,"renta.act.Esc1.Int1",-1005.28448000234
"144",25,"MG2","zona costera","16",450,90.188,179.893,"renta.act.Esc1.Int1",-1134.79897687868
